sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2
0,F,i-,Green,1_1D,3,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.04838709677419355,0.0,0,0.0,3,2,1,1,1,10,1,-1.9285714285714288,-2.928571428571429,-3.928571428571429,-3.928571428571429,-3.928571428571429,5.071428571428571,-3.928571428571429
0,F,i-,Bear,2_I1D,4,0.8064516129032258,0.7333333333333333,0.9333333333333333,0.20000000000000007,0.1,0.064,1,16.0,6,3,3,3,6,10,2,1.0714285714285712,-1.9285714285714288,-1.9285714285714288,-1.9285714285714288,1.0714285714285712,5.071428571428571,-2.928571428571429
0,F,i-,Bunny,3_2D,2,0.8186528497409327,0.2,1.0,0.8,0.6225806451612903,0.712,2,89.0,8,8,7,8,9,8,3,3.071428571428571,3.071428571428571,2.071428571428571,3.071428571428571,4.071428571428571,3.071428571428571,-1.9285714285714288
0,F,i-,Squid,4_R,1,0.5352112676056338,0.8,0.26666666666666666,0.0,0.22903225806451613,0.224,2,28.0,6,4,9,4,4,2,6,1.0714285714285712,-0.9285714285714288,4.071428571428571,-0.9285714285714288,-0.9285714285714288,-2.928571428571429,1.0714285714285712
1,F,i-,Bear,1_1D,1,0.8876404494382022,0.6666666666666666,0.9333333333333333,0.2666666666666667,0.2861736334405145,0.2948207171314741,3,24.666666666666668,10,10,1,10,10,6,1,3.25,3.25,-5.75,3.25,3.25,-0.75,-5.75
1,F,i-,Green,2_I1D,2,0.7954545454545454,0.7333333333333333,0.8,0.06666666666666676,0.1414790996784566,0.11553784860557768,2,14.5,10,10,1,9,10,6,1,3.25,3.25,-5.75,2.25,3.25,-0.75,-5.75
1,F,i-,Bunny,3_2D,4,0.6696428571428571,0.7333333333333333,0.7333333333333333,0.0,0.36012861736334406,0.38645418326693226,3,32.333333333333336,10,5,8,4,6,8,10,3.25,-1.75,1.25,-2.75,-0.75,1.25,3.25
1,F,i-,Squid,4_R,3,0.45454545454545453,0.6666666666666666,0.3333333333333333,0.0,0.21221864951768488,0.20318725099601595,2,25.5,10,1,10,1,1,10,10,3.25,-5.75,3.25,-5.75,-5.75,3.25,3.25
2,F,i-,Bear,1_1D,4,0.9022556390977443,0.6666666666666666,0.9333333333333333,0.2666666666666667,0.42765273311897106,0.4701195219123506,1,118.0,2,5,1,7,10,10,1,-3.4642857142857144,-0.4642857142857144,-4.464285714285714,1.5357142857142856,4.535714285714286,4.535714285714286,-4.464285714285714
2,F,i-,Bunny,2_I1D,1,0.4791666666666667,0.6,0.4,0.0,0.15434083601286175,0.13147410358565736,1,33.0,8,5,9,4,3,3,8,2.5357142857142856,-0.4642857142857144,3.5357142857142856,-1.4642857142857144,-2.4642857142857144,-2.4642857142857144,2.5357142857142856
2,F,i-,Squid,3_2D,2,0.4,0.4,0.4,0.0,0.04823151125401929,0.0,0,0.0,7,4,7,1,1,5,10,1.5357142857142856,-1.4642857142857144,1.5357142857142856,-4.464285714285714,-4.464285714285714,-0.4642857142857144,4.535714285714286
